Name,Price,No IVA,PVP,Discount,Rating
MSI GeForce GTX 1660 Ventus XS OC 6GB GDDR5,234.9,194.13,234.9,0,96.7
Zotac Gaming GeForce RTX 2060 6GB GDDR6,349.9,289.17,379.89,8,94.9
MSI GeForce GTX 1050Ti 4GT OC 4GB GDDR5,145.9,120.58,145.9,0,93.3
MSI GeForce GT710 2GB DDR3 Low Profile,52.99,43.79,52.99,0,87.5
Gigabyte GeForce RTX 2060 Super Gaming OC 3X 8GB GDDR6,454.9,375.95,454.9,0,89.0
Asus Dual GeForce RTX 2080 SUPER EVO V2 OC Edition 8GB GDDR6,759.9,628.02,849.9,11,89.1
MSI GeForce RTX 2060 SUPER Ventus GP OC 8GB GDDR6,444.9,367.69,444.9,0,100.0
MSI GeForce RTX 2060 Super Gaming X 8GB GDDR6,484.9,400.74,484.9,0,97.3
Gigabyte GeForce GT 1030 2GB GDDR5 LP,79.99,66.11,79.99,0,91.4
MSI GeForce GTX 1660 SUPER Ventus XS OC 6GB GDDR6,257.9,213.14,257.9,0,94.7
Gigabyte GeForce RTX 2070 SUPER GAMING OC 3X WHITE 8GB GDDR6,579.9,479.26,579.9,0,100.0
Gigabyte GeForce GTX 1050Ti OC 4GB GDDR5,154.9,128.02,154.9,0,92.7
MSI GeForce GT710 1GB DDR3 Low Profile,45.99,38.01,45.99,0,89.6
Asus GeForce GTX 1650 SUPER TUF Gaming OC 4GB GDDR6,226.04,186.81,300,25,95.2
Gigabyte GeForce RTX 2070 Super Gaming OC 3X 8GB GDDR6,579.9,479.26,579.9,0,92.0
MSI GeForce GTX 1660 Ti Ventus XS 6GB GDDR6,304.9,251.98,304.9,0,94.9
Zotac Gaming GeForce RTX 2070 Mini 8GB GDDR6,519.89,429.66,519.89,0,96.5
MSI GeForce RTX 2080 SUPER GAMING TRIO 8GB GDDR6,719.9,594.96,824.91,13,0.0
Kingston HyperX Fury Black 16GB DDR4 3200Mhz PC-25600 CL16,88,72.73,88,0,97.0
Kingston HyperX Fury Black 16GB DDR4 2666Mhz PC-21300 CL15,77,63.64,77,0,94.5
Kingston HyperX Fury Black 8GB DDR4 2400Mhz PC-19200 CL15,42,34.71,42,0,94.1
G.Skill Trident Z Neo DDR4 3600 PC4-28800 32GB 2x16GB CL16,226,186.78,226,0,97.8
Kingston HyperX Fury Black 8GB DDR4 3200Mhz PC-25600 (2x4GB) CL16,54,44.63,54,0,97.1
G.Skill Trident Z Neo DDR4 3600 PC4-28800 16GB 2x8 GB CL16,154.57,127.74,154.57,0,94.8
G.Skill Ripjaws V Red DDR4 2400 PC4-19200 8GB 2x4GB CL15,51.63,42.67,51.63,0,94.7
Corsair Vengeance LPX DDR4 2666 16GB 2x8GB CL16,82.99,68.59,82.99,0,96.3
G.Skill FlareX DDR4 3200 PC4-25600 16GB 2x8GB CL16,90.8,75.04,90.8,0,91.3
Kingston ValueRAM DDR4 2400 PC4-19200 4GB CL17,23,19.01,23,0,93.6
G.Skill Ripjaws SO-DIMM DDR4 2400 PC4-19200 8GB CL16,37.99,31.4,37.99,0,95.7
Team Group T-Force Night Hawk White RGB DDR4 3200 PC4-25600 16GB 2x8 CL16,95,78.51,118.99,21,93.9
Corsair Vengeance RGB Pro Optimizado AMD DDR4 3200 16GB 2x8GB CL16,139,114.88,139,0,0.0
Kingston HyperX Fury Black 4GB DDR4 2666Mhz PC-21300 CL15,25,20.66,25,0,94.7
Corsair Vengeance LPX DDR4 3200 PC4-25600 16GB 2x8GB CL16 Blanco,92.99,76.85,92.99,0,91.2
Team Group Delta White RGB DDR4 3200 PC4-25600 16GB 2x8GB CL16,93.99,77.68,93.99,0,94.6
Memoria RAM Crucial DDR4 2400 PC4-19200 4GB CL17,20.56,16.99,20.56,0,92.7
G.Skill Trident Z DDR4 3600 PC4-28800 16GB 2x8GB CL16,161.95,133.84,161.95,0,95.1
G.Skill Aegis DDR4 2133 PC4-17000 4GB CL15,21,17.36,21,0,91.5
Crucial SO-DIMM DDR3L 1600 PC3-12800 4GB CL11,22.95,18.97,22.95,0,92.9
Corsair Vengeance LPX DDR4 3000 PC4-24000 16GB CL15,79.95,66.07,79.95,0,95.7
Crucial SO-DIMM DDR4 2400 PC4-19200 4GB CL17,19.35,15.99,19.35,0,90.7
Kingston HyperX Fury Black 16GB DDR4 2400Mhz PC-19200 (2x8GB) CL15,81,66.94,81,0,95.0
Team Group Delta RGB DDR4 3200 PC4-25600 16GB 2x8GB CL16,89,73.55,89,0,89.2
CoolBox CR650-BT Lector de Tarjetas Interno USB 2.0,16.97,14.02,16.97,0,0.0
SanDisk MobileMate Lector de Tarjetas USB 3.0 Negro,11.04,9.12,11.04,0,0.0
