Nombre, Precio, IVA, PVP, Descuento, Rating
Asus Dual GeForce RTX 2080 SUPER EVO V2 OC Edition 8GB GDDR6,759.9,628.02,849.9,11,95.6
MSI GeForce GTX 1660 SUPER Ventus XS OC 6GB GDDR6,257.9,213.14,257.9,0,96.4
Zotac Gaming GeForce GTX 1650 AMP 4GB GDDR5,149.89,123.88,179.89,17,92.5
Asus GeForce GTX 1650 Dual 4GB OC GDDR5,154.9,128.02,179.89,14,91.8
MSI GeForce GT710 2GB DDR3 Low Profile,52.99,43.79,52.99,0,87.5
AsRock Phantom Gaming X Radeon RX580 OC 8GB GDDR5,175.9,145.37,219.89,21,93.3
Gigabyte GeForce RTX 2060 Super Gaming OC 3X 8GB GDDR6,454.9,375.95,454.9,0,88.4
MSI GeForce GT710 1GB DDR3 Low Profile,50.42,41.67,50.42,0,89.5
Asus GeForce GTX 1650 SUPER TUF Gaming OC 4GB GDDR6,218.48,180.56,218.48,0,94.8
MSI GeForce GTX 1660 Ventus XS OC 6GB GDDR5,232.9,192.48,232.9,0,97.1
Zotac Gaming GeForce RTX 2070 Mini 8GB GDDR6,519.89,429.66,519.89,0,96.5
MSI GeForce RTX 2060 SUPER Ventus GP OC 8GB GDDR6,444.9,367.69,444.9,0,100.0
Gigabyte GeForce GT 1030 2GB GDDR5 LP,79.99,66.11,79.99,0,91.5
PNY GeForce GTX 1660 Ti XLR8 Gaming OC Dual Fan 6GB GDDR6,289.9,239.59,289.9,0,92.9
MSI GeForce RTX 2060 Super Gaming X 8GB GDDR6,474.9,392.48,474.9,0,97.3
Gigabyte GeForce GTX 1050 OC 2GB GDDR5,134.9,111.49,134.9,0,92.9
Gigabyte GeForce RTX 2070 SUPER GAMING OC 3X WHITE 8GB GDDR6,579.9,479.26,579.9,0,100.0
MSI AMD Radeon RX 5700 XT Mech OC 8GB GDDR6,439.9,363.55,439.9,0,0.0
V7 V7192008GBD-SR DDR4 2400 PC4-19200 8GB CL17,31.99,26.44,45.99,31,89.8
Kingston HyperX Fury Black 16GB DDR4 3200Mhz PC-25600 CL16,88,72.73,88,0,97.0
G.Skill Trident Z Neo DDR4 3600 PC4-28800 32GB 2x16GB CL16,226,186.78,226,0,96.7
Kingston ValueRAM DDR3 1600 PC3-12800 4GB CL11,21.95,18.14,21.95,0,91.1
G.Skill Ripjaws V Red DDR4 2400 PC4-19200 8GB 2x4GB CL15,51.2,42.31,51.2,0,94.6
Kingston HyperX Fury Black 8GB DDR4 3200Mhz PC-25600 (2x4GB) CL16,54,44.63,54,0,97.1
Thermaltake Toughram Z-One RGB DDR4 3200 2x8GB 16GB CL16,95,78.51,95,0,91.3
Corsair Vengeance LPX DDR4 3200 PC4-25600 16GB 2x8GB CL16,94,77.69,94,0,93.7
Corsair Vengeance LPX DDR4 2666 16GB 2x8GB CL16,82.99,68.59,82.99,0,96.2
G.Skill Trident Z Neo DDR4 3600 PC4-28800 16GB 2x8 GB CL16,139,114.88,139,0,94.8
Kingston ValueRAM SO-DIMM DDR3L 1600 PC3-12800 8GB CL11,42.99,35.53,42.99,0,94.3
Kingston ValueRAM SO-DIMM DDR3 1600 PC3-12800 8GB CL11,37.95,31.36,37.95,0,92.5
